orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
9,J,Decoder OWSM preliminar,J10_decoder_con_capa_sesion,conSesion,conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,prueba preliminar del decoder,completado,J,conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,
0,P,Desarrollo preliminar,P02_gen1_ep200,gen1,gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,completado,P,gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P03_charoverfit_ep200,charOverfit,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,interrumpido,P,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P04_chargen1_ep200,charGen1,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,desarrollo histórico,interrumpido,P,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P05_charoverfit_ep50,charOverfit,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,desarrollo histórico,completado,P,charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P06_chargen1_ep150,charGen1,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,desarrollo histórico,completado,P,charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P07_fullcon_ep25,fullCon,fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,desarrollo histórico,completado,P,fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P08_fullcon2_ep100,fullCon2,fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,desarrollo histórico,completado,P,fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P09_c1d_ep30,c1d,c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,desarrollo histórico,completado,P,c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P10_lrdif_ep30,lrdif,lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,desarrollo histórico,completado,P,lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P11_deep_ep150,deep,deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,desarrollo histórico,interrumpido,P,deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,Conservado por trazabilidad; no se presenta como ablación controlada.
0,P,Desarrollo preliminar,P12_v2_ep45,v2,v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,desarrollo histórico,completado,P,v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,Conservado por trazabilidad; no se presenta como ablación controlada.
1,A,Transferencia del encoder,A02_owsm_ajustado,v3,v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,control OWSM emparejado,completado,A;D,v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,
0,P,Desarrollo preliminar,P13_v4_ep100,v4,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,desarrollo histórico,interrumpido,P;I,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,Conservado por trazabilidad; no se presenta como ablación controlada.
1,A,Transferencia del encoder,A04_owsm_mejor_observado,v5,v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,referencia OWSM ampliada,completado,A;I,v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,
1,A,Transferencia del encoder,A01_random_ajustado,A1randEls,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,control aleatorio,completado,A;C;E;F;G;H;I,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,
1,A,Transferencia del encoder,A05_random_lr_unificada,A1randLr1,A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,control de estabilidad divergente,completado,A,A1randLr1_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_eee5c0,
1,A,Transferencia del encoder,A03_owsm_congelado,A2congelado,A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,control OWSM congelado,completado,A,A2congelado_n45_deep_d512b2s2_char_congelado_sess_ep30_s2024_c435e9,
3,D,Estrategia de adaptación,D01_owsm_congelado_extendido,D0congExt,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,adaptación congelada,completado,D;I,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,
3,D,Estrategia de adaptación,D03_owsm_ultimas_2_capas,D2ult2,D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,adaptación parcial,completado,D,D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,
3,D,Estrategia de adaptación,D04_owsm_ultimas_4_capas,D3ult4,D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,adaptación parcial,completado,D,D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,
3,D,Estrategia de adaptación,D02_owsm_lora,D1loraCong,D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,adaptación LoRA,completado,D,D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,
2,C,Estabilidad del entrenamiento,C02_random_semilla_7,H1semilla,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,réplica de semilla,completado,C;I,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,
2,C,Estabilidad del entrenamiento,C03_random_semilla_1234,H2semilla,H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,réplica de semilla,completado,C,H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,
2,C,Estabilidad del entrenamiento,C04_owsm_ajuste_alternativo,H3owsmEls02,H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,equidad de optimización,completado,C,H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,
6,G,Unidad de salida CTC,G02_fonema,B1fon,B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,objetivo CTC,completado,G,B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,
6,G,Unidad de salida CTC,G03_bpe_256,B2bpe256,B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,objetivo CTC,completado,G,B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,
6,G,Unidad de salida CTC,G04_palabra_ep20,B3word,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,objetivo CTC; candidato al sistema final,completado,G;B,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,
6,G,Unidad de salida CTC,G05_bpe_owsm_50k_ep20,B4bpe50k,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,objetivo CTC,completado,G,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,
7,H,Generalización entre sesiones,H02_sesion_no_vista_identidad,E1hoIdent,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,evaluación fuera de sesión,completado,H;I,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,
7,H,Generalización entre sesiones,H03_sesion_no_vista_media,E2hoMedia,E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,evaluación fuera de sesión,completado,H,E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,
7,H,Generalización entre sesiones,H04_sesion_no_vista_sin_capa,E3hoSinSes,E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,evaluación fuera de sesión,completado,H,E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,
1,A,Transferencia del encoder,A06_random_congelado,A4randCong,A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,control de arquitectura congelada,completado,A,A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,
4,E,Frontend de EEG,E01_frontend_lineal,C1linear,C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,ablación de frontend,interrumpido,E,C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,
4,E,Frontend de EEG,E02_frontend_conv1d,C2conv1d,C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,ablación de frontend,completado,E,C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,
6,G,Unidad de salida CTC,G04_palabra_ep40,B3word,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,objetivo CTC; candidato al sistema final,completado,G;B,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,
6,G,Unidad de salida CTC,G05_bpe_owsm_50k_ep40,B4bpe50k,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,objetivo CTC,interrumpido,G,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,
5,F,Profundidad del encoder,F02_encoder_3_bloques,F1L3,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,ablación de profundidad,completado,F;I,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,
5,F,Profundidad del encoder,F01_encoder_2_bloques,F2L2,F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,ablación de profundidad,completado,F,F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,
3,D,Estrategia de adaptación,D05_owsm_ultimas_2_capas_lr_alta,D2bUlt2Lr1,D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,"adaptación parcial, tasa alta",completado,D,D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,
3,D,Estrategia de adaptación,D06_owsm_ultimas_4_capas_lr_alta,D3bUlt4Lr1,D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,"adaptación parcial, tasa alta",interrumpido,D,D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,
